"Advertiser_ID","Advertiser_Name","Three_Month_EPC","Seven_Day_EPC","Network_Ranking","Date_Created","Has_Products","Category","Country","Advertiser_Currency","Min_ItemLevelFixed_Lead_Commission","Max_ItemLevelFixed_Lead_Commission","Min_Percent_Lead_Commission","Max_Percent_Lead_Commission","Min_ItemLevelFixed_Sale_Commission","Max_ItemLevelFixed_Sale_Commission","Min_Percent_Sale_Commission","Max_Percent_Sale_Commission","Max_OrderLevelFixed_Lead_Commission","Min_OrderLevelFixed_Lead_Commission","Max_OrderLevelFixed_Sale_Commission","Min_OrderLevelFixed_Sale_Commission","Max_ViewThrough_ItemLevelFixed_Lead_Commission","Min_ViewThrough_ItemLevelFixed_Lead_Commission","Max_ViewThrough_Percent_Lead_Commission","Min_ViewThrough_Percent_Lead_Commission","Max_ViewThrough_ItemLevelFixed_Sale_Commission","Min_ViewThrough_ItemLevelFixed_Sale_Commission","Max_ViewThrough_Percent_Sale_Commission","Min_ViewThrough_Percent_Sale_Commission","Max_ViewThrough_OrderLevelFixed_Lead_Commission","Min_ViewThrough_OrderLevelFixed_Lead_Commission","Max_ViewThrough_OrderLevelFixed_Sale_Commission","Min_ViewThrough_OrderLevelFixed_Sale_Commission","Fixed_Click_Commission","Performance_Incentive","Search_Campaigns_-_Protected_SEM_Bidding_Keywords","Negative_Matching_for_Protected_Keywords","Search_Campaigns_-_Non-compete_SEM_Bidding_Keywords","Search_Campaigns_-_Recommended_SEM_Bidding_Keywords","Search_Campaigns_-_Prohibited_SEM_Display_URL_Content","Search_Campaigns_-_Limited_Use_SEM_Display_URL_Content","Search_Campaigns_-_Prohibited_SEM_Ad_Copy_Content","Search_Campaigns_-_Limited_Use_SEM_Ad_Copy_Content","Search_Campaigns_-_Direct_Linking","Search_Campaigns_-_Authorized_Search_Engines","Search_Campaigns_-_Special_Instructions_for_Search_Marketing_Publishers","Web_Site_-_Prohibited_Web_Site_Domain_Keywords","Web_Site_-_Prohibited_Web_Site_URL_Keywords","Web_Site_-_Prohibited_Web_Site_Content","Web_Site_-_Unacceptable_Web_Sites","Web_Site_-_Use_of_Logos_and_Trademarks_in_Web_sites","Incentivized_Traffic","Email","Software","Sub-Affiliates","Social_Media","Coupons_and_Promotional_Codes","Non-Commissionable_Items","ViewThrough_Campaigns","Miscellaneous_-_Special_Instructions"
"5243646","Aboutyou.hu","0.157","0.294","1","03-Dec-24","Yes","Malls","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","brand, domain and all the misspellings","Required","brand, domain and all the misspellings","","","","","","No","","","brand, domain and all the misspellings","","","","","","","","","","Publishers may only use coupons and promotional codes that are provided exclusively through the affiliate program","","",""
"5764183","Akkuk.hu","1.411","1.163","1","24-Nov-24","Yes","Computer HW","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","","","","","","","","","","","SEM nem engedélyezett. / SEM is not allowed.","","","","","","","","","","","","","",""
"4877395","Answear.hu","0.081","0.053","1","05-Dec-24","Yes","Malls","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true","answear,answear.hu","Required","","","","","","","","","SEM: nem engedélyezett / SEM: not allowed","answear","","","","","","","","","","Publishers may use any coupons or promotional codes that are provided through the affiliate program or otherwise available to the public","","","Partnereink díjazásra jogosultak minden kifizetésre került rendelésből. A jutalék összege a népszerűsítési módszerek jellegétől függ. Ha adott partner egyszerre használ különböző típusú promóciós módszereket, akkor a megfelelő feltételek szerint, minden általa használt promóciós módszer jutaléka közül a legalacsonyabb jutalék kerül térítésre. 
<br> 
<br> Ahhoz hogy részt vegyen az Answear.hu affiliate programban, a partner a CJ profilján köteles bejegyezni a teljes és a valóságnak megfelelő összes promóciós módszereket. Ha a partner nem teszi meg ezt, a hirdető kizárhatja az affiliate programbol és a jutalék a minimális értékre (1%) csökkenthet. 
<br> 
<br> A domain közvetlen átirányítása ezen feltételek alapján tilos. Ha partner a domaint átirányítani kivánja, akkor köteles közölni ezt a tényt a hirdetővel és annak megfelelően kerül a program ahhoz vonatkozó szabályokat alá. 
<br> 
<br> A SEM nem engedélyezett a promóciós módszerek közzé. Ha bármelyik partner megsérti ezt a feltételt, a hirdető fenntartja a jogot, hogy megszünteti a partner jutalékát és csökkentse azt 0%, míg az ilyen tevékenységek használ. A hirdető fenntartja a jogot hogy, a partnert amely megsérti az affiliate program feltételeit, kizárja. 
<br> 
<br> Ugyanakkor a hirdető a fentiek ellenére fenntartja magának a jogot az egyedi körülményekre. 
<br> 
<br> 
<b>Szabályok a kedvezmény kód használatára:</b> 
<br> &nbsp; A partnerek csak a promóciós kedvezmény kódot használhatják, amely az affiliate programban erre a célra már közvetlenül biztosított, vagy szabadon hozzáférhetők az interneten az Answear.hu honlapon. A tiltot kedvezmény kódok promóciója (pl. az offline promóciókra vannak tervezve, exkluzív kódok más partnerek számára, stb.) a hirdetőnek joga arra, hogy megtagadja a jutalékot, amely a kedvezmény kód használatára volt kiterjedve."
"5230042","AXA-ASSISTANCE SK/HU/RO","83.29","66.718","1","09-Jan-25","No","Personal Insurance","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.18","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","","","","","","","","","","","SEM is prohibited","","","","","","","","","","","Publishers may only use coupons and promotional codes that are provided exclusively through the affiliate program","","",""
"6575811","Brendon.hu","36.643","62.317","2","10-Jan-25","No","Babies","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.06","0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","brand, domain and all the misspellings","","","","","","","","","","SEM on brand is not allowed","","","","","","","","","","","","","",""
"5807789","Butlers.hu","0.888","0.0","1","11-Dec-24","Yes","Home Appliances","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","Márka, domain és minden elírás / brand, domain and all misspellings","Required","Márka, domain és minden elírás / brand, domain and all misspellings","","","","","","","","","Márka, domain és minden elírás / brand, domain and all misspellings","","","","","","","","","","","","",""
"7133039","Byrokko World","15.911","5.131","2","23-Oct-25","Yes","Bath & Body","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.11","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","Brand, Domain and all the misspellings.","","","","","","","","","","SEM on brand is not allowed.","","","","","","","","","","","","","","Guidelines & Terms and Rules: ● The brand name must be included in the list of negative keywords ● The image material is to be used and must not be changed (image rights remain with us) ● The use of all brand names (BYROKKO, SHINEBROWN), as well as all possible combinations and misspellings, is not permitted ● The brand keywords may not be used in the ad headline, in the ad text, or in the display URL ● When booking generic keywords, it is only allowed to use the web address (Publisher URL) as a visible URL in the ad that the publisher specified when registering with the affiliate program ● Integration of product data in Google Merchant Center or CSS is not permitted ● It is also not permitted to post the products on auction portals (e.g., eBay), shopping platforms, marketplaces (Amazon, Zalando), and price comparison portals without prior agreement ● Misspellings (typosquatting) of the advertiser's brand domains is not permitted in any way - regardless of the type of use"" Not Permitted Publisher Models: ● Ad banner farm, iFrame, adware, spyware, malware, layer, torrent traffic, Paid4Click, Paid4Surf, Paid4Mail, Refrallys Publisher Models Requiring Approval: ● Display Retargeting, Display Programmatic Buying, APP & Mobile Networks, TECH Partners ● Keyword Publisher, CSS, Product Data Feed Shopping Partner ● Influencer agencies & networks ● Social media agencies/SMM networks ● Standalone newsletter publisher (email marketing publisher) - requires a briefing and layout approval"
"4967945","CDRmarket.hu/ro","0.754","0.914","1","24-Nov-24","Yes","Peripherals","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","","","","","","","","","","","SEM is not allowed","","","","","","","","","","","Publishers may only use coupons and promotional codes that are provided exclusively through the affiliate program","","","Commission on orders only applies to purchases for retail orders"
"6754592","Dermo.hu","13.809","5.467","1","15-Apr-25","Yes","Cosmetics","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.05","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","brand, domain and all the misspellings","","","","","","","","","","SEM on brand is not allowed","","","","","","","","","","","","","",""
"7249555","Earplugs CZ/SK/HU/DE","229.653","99.047","1","15-Oct-25","Yes","Equipment","CZECH REPUBLIC","CZK","0.0","0.0","0.0","0.0","0.0","0.0","0.077","0.077","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","brand, domain and all the misspellings","","","","","","","","","","SEM on brand is not allowed","","","","","","","","","","","","","",""
"5357176","eOptika HU","4.238","0.55","1","24-Nov-24","Yes","Vision Care","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","","","","","","","","","","","SEM a markára nem engedélyezett. / SEM with brand name is not allowed.","","","","","","","Not allowed","","","","","","",""
"6100840","eSky INT","39.093","36.929","2","17-Mar-25","No","Air","POLAND","USD","0.0","0.0","0.0","0.0","0.0","0.0","0.035","0.035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","","","","","","","Publishers may not use our brand name or domain name, or any variation, similar terms or misspelling of our brand name, as the display domain in any search advertisement / PPC ad copy.","","","","","","","","This includes, but it is not limited to, any site that promotes or links to content that is unlawful, harmful, threatening, defamatory, obscene, violent, discriminatory, harassing or racially, ethnically, or otherwise objectionable.","Publishers can only use logos and images provided by the eSky affiliate program.","Not allowed","","","","","","The tracking is placed not on the domain www.esky but on the domain www2.esky (this applies to all countries and language versions). If a customer goes through an affiliate link to www2, does not complete the purchase, and later returns but goes to www to complete the purchase, the commission will not be tracked. In practice, treat the program as one with session cookies (the customer comes to www2 through your link and completes the order in the same session).","","For correct tracking, the publisher is required to use links specifically created for a specific market - found in the Links section after selecting a specific Targeted Country!"
"3387283","GeekBuying","3.651","2.474","1","23-Apr-25","Yes","Consumer Electronics","CHINA","USD","0.0","0.0","0.0","0.0","0.0","0.0","0.05","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","","","","Any PPC Promotion by any keywords directly linking to geekbuying.com is forbidden.","Forbidden Bidding on our Brand Keywords in PPC, or any misspellings and/or variations, but not limited to Geekbuying, geekbuying, geekbuy, geek buying, and geekbuying coupon.","","","","","","A.Forbidden for PPC Advertising on any Search Engine 1.Any PPC Promotion by any keywords directly linking to geekbuying.com is forbidden. 2.Forbidden Bidding on our Brand Keywords in PPC, or any misspellings and/or variations, but not limited to Geekbuying, geekbuying, geekbuy, geek buying, and geekbuying coupon. B.Punishment of PPC Violation Any non-official PPC promotion will be punished once noticed, all of your commissions will be canceled without any possibility of negotiation. 1.If an affiliate or his partners’ channel was noticed promoting Geekbuying by PPC, the affiliate will be removed, and no commission will be paid. 2.If a network violates the PPC policy because of some publisher, the punishment is not limited to the publisher, but the whole network commission withdrawal will be delayed, we will consider limiting or restricting the account and decide whether to unblock according to the follow-up investigation. Therefore, the network is advised to supervise publishers who promote Geekbuying and reframe from participating in any PPC campaigns, in order to main long term cooperation with us. 3.All commissions will be canceled. The “all” is for the whole account time from the day that affiliate join in Geekbuying affiliate program to the end of his account. Once a PPC violation is confirmed, Geekbuying will cancel all commissions without any chance of negotiation. 4.If an affiliate account was deleted from the affiliate program due to PPC violation, the corresponding affiliate and any associated sites or platforms will be banned from any and all other Geekbuying programs.","","","","","","","","","","","","","",""
"7138001","Heliumking Europe","0.33","0.411","1","07-Jan-25","Yes","Party Goods","CZECH REPUBLIC","EUR","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","Brand, Domain and all the misspellings.","","","","","","","","","","SEM on brand is not allowed.","","","","","","","","","","","","","",""
"6505895","Hotel Collection","40.605","1.031","3","04-Dec-24","No","Furniture","UNITED STATES","USD","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","Publishers are prohibited from using our branded terms in search marketing campaigns, including any variations or misspellings of Hotel Collection, www.hotelcollection.com","Required","","","Publishers are prohibited from using our branded terms in SEM Display URL Content, including any variations or misspellings of Hotel Collection, www.hotelcollection.com","","Ad copy must not be deceptive and must accurately reflect current promotions. Publishers are prohibited from using our branded terms in SEM Ad Copy Content including any variations or misspellings of Hotel Collection, www.hotelcollection.com","","No","","","Publishers are prohibited from using our branded terms in their Web Site Domain Keywords including any variations or misspellings of Hotel Collection, www.hotelcollection.com","Publishers are prohibited from using our branded terms in their Web Site URL Keywords including any variations or misspellings of Hotel Collection, www.hotelcollection.com","Prohibited sites are those with political, violent, hate language or adult content.","Prohibited sites are those with political, violent, hate language or adult content.","Publishers can only use logos and images provided in the CJ Account Manager.","Allowed","Allowed","Allowed","Allowed","Allowed - Affiliates cannot create Hotel Collection, www.hotelcollection.com branded social media accounts. Affiliates found in violation are subject to immediate removal from the program and reversal of commissions.","Publishers may only use coupons and promotional codes that are provided exclusively through the affiliate program","","","Brand Representation: Affiliate’s ad copy cannot contain misspellings, incorrect grammar or false or misleading statements regarding discounts or coupons. It is the Affiliate’s responsibility to expire deals, promotions & offers in accordance with any date restrictions on Hotel Collection or www.hotelcollection.com. ad campaigns. Ad copy should always represent Hotel Collection, www.hotelcollection.com in a professional manner. Claims such as ‘authorized wholesaler’ or ‘official site’ can never be used in ad copy."
