"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"Aboutyou.hu","HU","13694936","férfi outfitek","férfi outfitek","","Text Link","11.75 € EUR","N/A","6-Mar-2025","<a href=""https://www.kqzyfj.com/click-101589464-13694936"" target=""_top"">férfi outfitek</a><img src=""https://www.ftjcfx.com/image-101589464-13694936"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57451016?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101589464-13694936","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","13694933","Redirect link // Deeplink","Redirect link // Deeplink","deeplink","Text Link","11.17 € EUR","16.10 € EUR","6-Mar-2025","<a href=""https://www.kqzyfj.com/click-101589464-13694933"" target=""_top"">Redirect link</a><img src=""https://www.awltovhc.com/image-101589464-13694933"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57451017?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101589464-13694933","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17124262","Nyári banner","Nyári banner","","Banner","N/A","N/A","16-Jul-2025","<a href=""https://www.anrdoezrs.net/click-101589464-17124262"" target=""_top""> <img src=""https://www.awltovhc.com/image-101589464-17124262"" width=""300"" height=""300"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57451018?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101589464-17124262","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194600","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.tkqlhce.com/click-101589464-17194600"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101589464-17194600"" width=""728"" height=""90"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57451019?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101589464-17194600","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","16982825","750x200 téli szezonális banner, logóval","téli szezonális banner, logó nélkül","about you, tél, szezonális banner","Banner","N/A","N/A","6-Mar-2025","<a href=""https://www.anrdoezrs.net/click-101589464-16982825"" target=""_top""> <img src=""https://www.tqlkg.com/image-101589464-16982825"" width=""720"" height=""200"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57451020?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101589464-16982825","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194590","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.jdoqocy.com/click-101589464-17194590"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101589464-17194590"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57451021?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101589464-17194590","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17124270","Nyári banner","Nyári banner","","Banner","N/A","N/A","16-Jul-2025","<a href=""https://www.jdoqocy.com/click-101589464-17124270"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101589464-17124270"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57451022?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101589464-17124270","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","13694934","női outfitek","női outfitek","","Text Link","N/A","N/A","6-Mar-2025","<a href=""https://www.kqzyfj.com/click-101589464-13694934"" target=""_top"">női outfitek</a><img src=""https://www.awltovhc.com/image-101589464-13694934"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57451023?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101589464-13694934","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","13694937","bébiruhák","bébiruhák","","Text Link","N/A","N/A","6-Mar-2025","<a href=""https://www.kqzyfj.com/click-101589464-13694937"" target=""_top"">bébiruhák</a><img src=""https://www.lduhtrp.net/image-101589464-13694937"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57451024?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101589464-13694937","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194597","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.dpbolvw.net/click-101589464-17194597"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101589464-17194597"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57451025?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101589464-17194597","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17124259","Nyári banner","Nyári banner","","Banner","N/A","N/A","16-Jul-2025","<a href=""https://www.jdoqocy.com/click-101589464-17124259"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101589464-17124259"" width=""300"" height=""300"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57451026?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101589464-17124259","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17124272","Nyári banner","Nyári banner","","Banner","N/A","N/A","16-Jul-2025","<a href=""https://www.jdoqocy.com/click-101589464-17124272"" target=""_top""> <img src=""https://www.awltovhc.com/image-101589464-17124272"" width=""300"" height=""300"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57451027?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101589464-17124272","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17124247","Nyári banner","Nyári banner","","Banner","N/A","N/A","16-Jul-2025","<a href=""https://www.kqzyfj.com/click-101589464-17124247"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101589464-17124247"" width=""160"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57451028?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101589464-17124247","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194605","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.kqzyfj.com/click-101589464-17194605"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101589464-17194605"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57451029?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101589464-17194605","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194592","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.tkqlhce.com/click-101589464-17194592"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101589464-17194592"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57451030?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101589464-17194592","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194596","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.anrdoezrs.net/click-101589464-17194596"" target=""_top""> <img src=""https://www.tqlkg.com/image-101589464-17194596"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57451031?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101589464-17194596","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194602","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.dpbolvw.net/click-101589464-17194602"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101589464-17194602"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57451032?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101589464-17194602","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194606","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.jdoqocy.com/click-101589464-17194606"" target=""_top""> <img src=""https://www.tqlkg.com/image-101589464-17194606"" width=""728"" height=""90"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57451033?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101589464-17194606","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194599","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.dpbolvw.net/click-101589464-17194599"" target=""_top""> <img src=""https://www.tqlkg.com/image-101589464-17194599"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57451034?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101589464-17194599","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17124271","Nyári banner","Nyári banner","","Banner","N/A","N/A","16-Jul-2025","<a href=""https://www.kqzyfj.com/click-101589464-17124271"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101589464-17124271"" width=""300"" height=""300"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57451035?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101589464-17124271","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17124255","Nyári banner","Nyári banner","","Banner","N/A","N/A","16-Jul-2025","<a href=""https://www.dpbolvw.net/click-101589464-17124255"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101589464-17124255"" width=""160"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57451036?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101589464-17124255","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17124264","Nyári banner","Nyári banner","","Banner","N/A","N/A","16-Jul-2025","<a href=""https://www.tkqlhce.com/click-101589464-17124264"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101589464-17124264"" width=""728"" height=""90"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57451037?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101589464-17124264","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","16982823","485x340 téli szezonális banner, logóval","téli szezonális banner, logó nélkül","about you, tél, szezonális banner","Banner","N/A","N/A","6-Mar-2025","<a href=""https://www.jdoqocy.com/click-101589464-16982823"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101589464-16982823"" width=""485"" height=""340"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57451038?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101589464-16982823","N/A","","","","Malls","5243646","Active","Hungarian","No"
"Aboutyou.hu","HU","17194607","Téli banner","Téli banner","","Banner","N/A","N/A","11-Nov-2025","<a href=""https://www.anrdoezrs.net/click-101589464-17194607"" target=""_top""> <img src=""https://www.tqlkg.com/image-101589464-17194607"" width=""728"" height=""90"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57451039?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101589464-17194607","N/A","","","","Malls","5243646","Active","Hungarian","No"
