name,tax_number,email,address,legal_status,public_benefit_status,cegjelzo_status,cegjelzo_status_code,cegjelzo_registration_number,cegjelzo_official_name,cegjelzo_short_name,cegjelzo_tax_number
Miskolci Állatsegítő Alapítvány,18435249-2-05,allatsegito@allatsegito.hu,"3529 Miskolc, Szigeti M. u. 2.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001724,Miskolci Állatsegítő Alapítvány -MÁSA-,MÁSA,18435249-2-05
Erzsébet Hospice Alapítvány,18414020-1-05,miskeha@gmail.com,"3526 Miskolc, Szentpéteri kapu 72-76.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000692,"""Erzsébet Hospice Alapítvány """,,18414020-1-05
"""Tállya Jövőjéért"" Alapítvány",18442434-1-05,sallaianett@outlook.hu,"3907 Tállya, Rákóczi út 34.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001999,"""Tállya Jövőjéért"" Alapítvány",,18442434-1-05
Kurityánért Alapítvány,18433278-1-05,icsone24@gmail.com,"3732 Kurityán, Kossuth L.u.109.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001650,"""Kurityánért"" Alapítvány",,18433278-1-05
Sajóörös Községért Közalapítvány,18432806-1-05,sajooroskozsegert@gmail.com,"3586 Sajóörös, Jókai u. 2.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001574,Sajóörös Községért Közalapítvány,,18432806-1-05
Laurus Szociális és Kulturális Egyesület,19331753-1-05,laurusegyesulet@gmail.com,"3534 Miskolc, Iván utca 57 IV 2",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064375,Laurus Szociális és Kulturális Egyesület,,19331753-1-05
Balogh Sándor Alapítvány,19333683-1-05,titkarsag@bsalapitvany.hu,"3900 Szerencs, Rákóczi utca 43.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0064029,Balogh Sándor Alapítvány,,19333683-2-41
Magyar Alkotók Internetes Társulása,18436817-1-05,maitelnok@gmail.com,"3556 Kisgyőr, Táncsics M. út 8.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0003084,Magyar Alkotók Internetes Társulása,MAIT,18436817-1-05
Magyarországi Falusi Cigányok Mezőgazdasági Közhasznú Szövetsége,18424823-1-05,barnahernadvecse@gmail.com,"3874 Hernádvécse, Petőfi utca 1.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0002332,Magyarországi Falusi Cigányok Mezőgazdasági Szövetsége,MFCMSZ,18424823-1-05
Önmegvalósítás Egyesület,19330161-1-05,megvalosit@gmail.com,"3531 Miskolc, Győri kapu 24/B. 1 104.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064182,Önmegvalósítás Egyesület,,19330161-1-05
