name,tax_number,email,address,legal_status,public_benefit_status
Miskolci Állatsegítő Alapítvány,18435249-2-05,allatsegito@allatsegito.hu,"3529 Miskolc, Szigeti M. u. 2.",Közhasznú,igen
Erzsébet Hospice Alapítvány,18414020-1-05,miskeha@gmail.com,"3526 Miskolc, Szentpéteri kapu 72-76.",Közhasznú,igen
"""Tállya Jövőjéért"" Alapítvány",18442434-1-05,sallaianett@outlook.hu,"3907 Tállya, Rákóczi út 34.",Közhasznú,igen
Kurityánért Alapítvány,18433278-1-05,icsone24@gmail.com,"3732 Kurityán, Kossuth L.u.109.",Közhasznú,igen
Sajóörös Községért Közalapítvány,18432806-1-05,sajooroskozsegert@gmail.com,"3586 Sajóörös, Jókai u. 2.",Közhasznú,igen
Szomáliai-Magyar Egyesület (SZME),18210307-1-05,szme@hotmail.hu,"3900 Szerencs, Magyar utca 76.",Közhasznú,igen
Laurus Szociális és Kulturális Egyesület,19331753-1-05,laurusegyesulet@gmail.com,"3534 Miskolc, Iván utca 57 IV 2",Közhasznú,igen
Balogh Sándor Alapítvány,19333683-1-05,titkarsag@bsalapitvany.hu,"3900 Szerencs, Rákóczi utca 43.",Közhasznú,igen
Magyar Alkotók Internetes Társulása,18436817-1-05,maitelnok@gmail.com,"3556 Kisgyőr, Táncsics M. út 8.",Közhasznú,igen
Veszprém Megyei Gasztronómiai Egyesület,18939097-1-19,gasztronomus@gmail.com,"8220 Balatonalmádi, Viola utca 36.",Közhasznú,igen
Magyarországi Falusi Cigányok Mezőgazdasági Közhasznú Szövetsége,18424823-1-05,barnahernadvecse@gmail.com,"3874 Hernádvécse, Petőfi utca 1.",Közhasznú,igen
Önmegvalósítás Egyesület,19330161-1-05,megvalosit@gmail.com,"3531 Miskolc, Győri kapu 24/B. 1 104.",Közhasznú,igen
Taktaharkányi Polgárőr Szervezet,18422278-1-05,akos.szeman@gmail.com,"3922 Taktaharkány, Deák u. 18.",Közhasznú,igen
Miskolci Mentorok Családpedagógiai Közhasznú Egyesület,18019577-1-05,cs.p.mentorok@gmail.com,"3529 Miskolc, Testvérvárosok útja 30. 5 2",Közhasznú,igen
Barakonyi Patakvölgy Egyesület,18032695-1-05,jenedit@gmail.com,"3765 Tornabarakony, Dózsa György út 14.",Közhasznú,igen
Nyilas Misi Alapítvány,18430794-1-05,nagy.karolyne69@gmail.com,"3525 Miskolc, Kossuth u.17.",Közhasznú,igen
Magyarok a Magyarokért Közhasznú Egyesület,18278079-1-05,jozsi20@freemail.hu,"3780 Balajt, Fő út 42.",Közhasznú,igen
Polyán Egyesület,19335939-1-05,polyan.egyesulet@gmail.com,"3989 Mikóháza, Petőfi Sándor utca 32/a.",Közhasznú,igen
Vissza az Életbe Egyesület,19331083-1-05,visszaazeletbe@gmail.com,"3721 Jákfalva, Széchenyi út 10. A",Közhasznú,igen
Baráti Kör Tornabarakonyért Alapítvány,19334079-1-05,mariakom@invitel.hu,"3765 Tornabarakony, Dózsa utca 22.",Közhasznú,igen
Infektológia Fejér Megyéért Alapítvány,18484920-1-07,zsozsvar@mail.fmkorhaz.hu,"8000 Székesfehérvár, Trencséni utca 23.",Közhasznú,igen
Szemünk Fénye Alapítvány,18411364-1-05,feketeistvanovi@alsozsolca.hu,"3571 Alsózsolca, Fekete István u.7.",Közhasznú,igen
Lazúr Kultúrális és Táncsport Egyesület,18420348-1-05,emo71@hotmail.com,"3530 Miskolc, Szemere u. 16.",Közhasznú,igen
Kék Ház Tanácsadó Szociális Alapítvány,18428229-1-05,kekhazalapitvany@gmail.com,"3534 Miskolc, Lankás út 6.",Közhasznú,igen
Bodrogkeresztúri Idősek Otthona Lakóiért Alapítvány,19330185-1-05,idosek.otthona@tvnetwork.hu,"3916 Bodrogkeresztúr, Kastély köz 18.",Közhasznú,igen
"""Egészséges környezetben egészséges gyermekeinkért""Alapítvány",18427297-1-05,leszihovi@gmail.com,"3524 Miskolc, Leszih A. utca 6.",Közhasznú,igen
Sárospataki Rákóczi Diáksport Egyesület,18438352-1-05,rakocziiskola@sarospatak.hu,"3950 Sárospatak, Petőfi u.1.",Közhasznú,igen
Mások-Másképpen Alapítvány,18447233-1-05,jaagota@gmail.com,"3525 Miskolc, Sólyom utca 11",Közhasznú,igen
Egy Esélyt Felelősen Vállalva Alapítvány,18752128-1-05,eefv@eefv.hu,"3780 Edelény, István kir. útja 41.",Közhasznú,igen
Ideál Életreform Népfőiskola Közhasznú Egyesület,19336703-1-05,idealklub@gmail.com,"3700 Kazincbarcika, Patak út 13.",Közhasznú,igen
Észak-Keleti Átjáró Kulturális és Tudományos Közhasznú Egyesület,19331571-1-05,atjarok@gmail.com,"3529 Miskolc, Testvérvárosok útja 8 IX 1",Közhasznú,igen
Magyargencsi Sportegyesület,18935529-1-19,motamas@globonet.hu,"8517 Magyargencs, Petőfi u. 127.",Közhasznú,igen
A sérült test és értelem harmóniájáért Alapítvány,18446902-1-05,frigyka@freemail.hu,"3533 Miskolc, Mester utca 20/B.",Közhasznú,igen
Gárdonyi Géza Oktatási Alapítvány,18413218-1-05,gardalap@freemail.hu,"3508 Miskolc, Szeretet u.5.",Közhasznú,igen
Halmozottan Sérültek Borsod-Abaúj-Zemplén Megyei Szülőszövetsége,18447305-1-05,borsodhalm2012@gmail.com,"3600 Ózd, Bocskai I. utca 4.",Közhasznú,igen
ÓZDI NYITOTT KAPU,18445437-1-05,fionacska@gmail.com,"3600 Ózd, 48-as út 26.sz.",Közhasznú,igen
Szendrői Várbarátok Egyesülete,19330240-1-05,szendroivar@gmail.com,"3752 Szendrő, Ady Endre utca 29",Közhasznú,igen
Bárka Színpad és Műhely Kulturális Egyesület,18429622-1-05,barka.szinpad1997@gmail.com,"3600 Ózd, Újtelep 25.",Közhasznú,igen
SZÁDVÁRÉRT BARÁTI KÖR,19332338-1-05,kapcsolat@szadvar.hu,"3762 Szögliget, Szabadság tér 26.",Közhasznú,igen
Borókás Kulturális Egyesület,18406858-1-05,borokas@gmail.com,"3534 Miskolc, Bodrogi Zs. út 28",Közhasznú,igen
Európai Romák Egyesület,19333542-1-05,europairomak@freemail.hu,"3551 Ónod, Honvéd utca 4",Közhasznú,igen
"Kosztyu Ádám Emlékére a Leukémiás,Daganatos és Zemplén Fogyatékos Gyermekeiért Alapítvány",18418299-1-05,kosztyuadam@gmail.com,"3980 Sátoraljaújhely, Árpád u. 1.",Közhasznú,igen
4. Dimenzió Közhasznú alapítvány,18444467-1-05,mariann.brillant@gmail.com,"3530 Miskolc, Avasalja utca 6.",Közhasznú,igen
Vakok és Gyengénlátók Borsod-Abaúj-Zemplén Megyei Egyesülete,18446373-1-05,info@borsodivakok.hu,"3525 Miskolc, Jókai utca 18.",Közhasznú,igen
Kazincbarcika város és környéke Művészetéért Egyesület,18447965-1-05,bzen@freemail.hu,"3700 Kazincbarcika, Lini István tér 3.",Közhasznú,igen
Arnóti Öregfiúk Sportegyesület,18440951-1-05,arnotiskola@borsodweb.hu,"3713 Arnót, Lévay u. 1.",Közhasznú,igen
Páli Szent Vince Társaság Szeretetszolgálat,18410985-1-05,palisztvince@freemail.hu,"3534 Miskolc, Árpád u. 2.",Közhasznú,igen
Új Remény Alapítvány,18428566-2-05,ujremeny@ujremeny.org,"3950 Sárospatak, Arany János út 30",Közhasznú,igen
Regina Alapítvány Miskolc,18706952-1-05,regina.alapitvany.miskolc@gmail.com,"3534 Miskolc, Költő u. 12.",Közhasznú,igen
Borsodbótáért Közalapítvány,18430055-1-05,k0586@koznet.hu,"3658 Borsodbóta, Széchenyi u.42.",Közhasznú,igen
