name,tax_number,email,address,legal_status,public_benefit_status,cegjelzo_status,cegjelzo_status_code,cegjelzo_registration_number,cegjelzo_official_name,cegjelzo_short_name,cegjelzo_tax_number
"""Együtt könnyebb"" Női Egészségért Alapítvány",18628175-1-43,salamon.adrienn@endometriozismagyarorszag.hu,"1122 Budapest, Székács utca 24. fszt. 1.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0011978,"""Együtt könnyebb"" Női Egészségért Alapítvány",Női Egészségért Alapítvány,18628175-1-43
"""Lépjünk, hogy léphessenek!"" Közhasznú Egyesület",18277982-1-13,lepjunkegyesulet@gmail.com,"2094 Nagykovácsi, Templomkert u. 6.",Közhasznú,igen,Nyilvántartásba vett,1,13-02-0006226,"Lépjünk, hogy léphessenek! Közhasznú Egyesület a Központi Idegrendszeri Sérült Gyermekekért",,18277982-1-13
Retriever Rescue Fajtamentő Egyesület,18618066-1-11,info@retrieverhelp.hu,"2536 Nyergesújfalu, Szabadság domb 29.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001742,Retriever Rescue Fajtamentő Egyesület,,18618066-1-11
"""Nyolc Boldogság"" Alapítvány",19136352-1-20,alapitvany@nyolcboldogsag.hu,"8777 Homokkomárom, Ady E. u. 2.",Közhasznú,igen,Nyilvántartásba vett,1,10-01-0000169,Nyolc Boldogság Alapítvány,NYB Alapítvány,19136352-1-02
Dr. Szondy Klára Alapítvány az egészségügyi dolgozókért,19037387-1-13,drszondyklaraalapitvany@gmail.com,"2094 Nagykovácsi, Arany János utca 6.",Közhasznú,igen,Nyilvántartásba vett,1,13-01-0003961,Dr. Szondy Klára Alapítvány az egészségügyi dolgozókért,Dr. Szondy Klára Alapítvány,19037387-1-13
Kárpát-medencei Értékmentő Alapítvány,18408207-1-11,annabognar1992@gmail.com,"2822 Szomor, Zsámbéki utca 28.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0011681,Kárpát-medencei Értékmentő Alapítvány,KÉRA,18408207-1-11
Gyógyítás Művészete Turulvölgyi Alapítvány,18276194-1-11,gyogyitasmuveszete@gmail.com,"2800 Tatabánya, Gál I. ltp. 533. I/4.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0001018,Gyógyítás Művészete Turulvölgyi Alapítvány,,18276194-1-11
Bácsalmási Mentő Alapítvány,18650789-1-03,bacsmentoalapitvany@gmail.com,"6430 Bácsalmás, Köztársaság utca 12.",Közhasznú,igen,Nyilvántartásba vett,1,03-01-0002518,Bácsalmási Mentő Alapítvány,,18650789-1-03
Komárom Környéki Civil Társulás,18616741-1-11,kkct@eletteregyesulet.hu,"2903 Komárom, Csendes utca 8.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001648,Komárom Környéki Civil Társulás,,18616741-1-11
Kerecsen Ifjúsági Egyesület,18616727-1-11,kerecsen@eletteregyesulet.hu,"2903 Komárom, Csendes u. 8.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001637,Kerecsen Ifjúsági Egyesület,,18616727-1-11
