name,tax_number,email,address,legal_status,public_benefit_status
"""Együtt könnyebb"" Női Egészségért Alapítvány",18628175-1-43,salamon.adrienn@endometriozismagyarorszag.hu,"1122 Budapest, Székács utca 24. fszt. 1.",Közhasznú,igen
"""Lépjünk, hogy léphessenek!"" Közhasznú Egyesület",18277982-1-13,lepjunkegyesulet@gmail.com,"2094 Nagykovácsi, Templomkert u. 6.",Közhasznú,igen
Retriever Rescue Fajtamentő Egyesület,18618066-1-11,info@retrieverhelp.hu,"2536 Nyergesújfalu, Szabadság domb 29.",Közhasznú,igen
"""Nyolc Boldogság"" Alapítvány",19136352-1-20,alapitvany@nyolcboldogsag.hu,"8777 Homokkomárom, Ady E. u. 2.",Közhasznú,igen
Dr. Szondy Klára Alapítvány az egészségügyi dolgozókért,19037387-1-13,drszondyklaraalapitvany@gmail.com,"2094 Nagykovácsi, Arany János utca 6.",Közhasznú,igen
Kárpát-medencei Értékmentő Alapítvány,18408207-1-11,annabognar1992@gmail.com,"2822 Szomor, Zsámbéki utca 28.",Közhasznú,igen
Gyógyítás Művészete Turulvölgyi Alapítvány,18276194-1-11,gyogyitasmuveszete@gmail.com,"2800 Tatabánya, Gál I. ltp. 533. I/4.",Közhasznú,igen
Bácsalmási Mentő Alapítvány,18650789-1-03,bacsmentoalapitvany@gmail.com,"6430 Bácsalmás, Köztársaság utca 12.",Közhasznú,igen
Komáromi Talpasíjászok Közhasznú Egyesület,18616734-1-11,talpas@eletteregyesulet.hu,"2903 Komárom, Csendes u. 8.",Közhasznú,igen
Komárom Környéki Civil Társulás,18616741-1-11,kkct@eletteregyesulet.hu,"2903 Komárom, Csendes utca 8.",Közhasznú,igen
Kerecsen Ifjúsági Egyesület,18616727-1-11,kerecsen@eletteregyesulet.hu,"2903 Komárom, Csendes u. 8.",Közhasznú,igen
Civil Közösségi Házak Magyarországi Egyesülete,18390272-1-11,civil.kozossegek@gmail.com,"2903 Komárom, Csendes utca 8.",Közhasznú,igen
Lélektér Alapítvány,18015896-1-19,lelekter@gmail.com,"8200 Veszprém, Bajcsy-Zsilinszky út 9.",Közhasznú,igen
Határtalan szív Alapítvány,18611753-1-11,hatartalanszivalapitvany@gmail.com,"2500 Esztergom, Lázár V. út 84.",Közhasznú,igen
A Háztartások Foglalkoztatásáért Alapítvány,18641121-1-12,haztartasok@ahfa.hu,"3100 Salgótarján, Bajcsy-Zsilinszky út 16-18.",Közhasznú,igen
Tatabányai Otthon Segítünk Alapítvány,18614079-1-11,otthonsegitunk.tb@gmail.com,"2800 Tatabánya, Ifjúság u. 26. fsz., telephelye: 2890 Tata, Váralja út 6.",Közhasznú,igen
Erdélyi Magyarok Törökbálinti Egyesülete,18707984-1-13,emte2004@gmail.com,"2045 Törökbálint, Bajcsy Zs. u 78/b.",Közhasznú,igen
Erődváros Íjász Sportegyesület,18617364-1-11,szabolcs.nemeth@gmail.com,"2900 Komárom, Igmándi Erőd",Közhasznú,igen
Bogáncs Kutya- és Kisállatotthon Alapítvány,18614385-1-11,kisspe@bogancsotthon.hu,"2500 Esztergom, Csapási dűlő 0362/1. hrszp.",Közhasznú,igen
"""Mondjunk mancsot!"" Terápiás- és Segítőkutyás Közhasznú Egyesület",18592807-1-10,mondjunkmancsot@gmail.com,"3300 Eger, Bajcs-Zsilinszky u. 9.",Közhasznú,igen
Száz Völgy Természetvédelmi Egyesület,18617601-1-11,szazvolgy@gmail.com,"2836 Baj, Dózsa György utca 8.",Közhasznú,igen
Térségi Integrált Művészeti Egyesület,18015889-1-11,filmhatas@gmail.com,"2840 Oroszlány, Rosenberg u. 2. 2/12.",Közhasznú,igen
Veres Pál Polgári Egyesület,18213355-1-03,vpalegyesulet@gmail.com,"6500 Baja, Kodály Zoltán utca 30. 1. 101/a.",Közhasznú,igen
Gyermekliget Alapítvány,18615568-1-11,gyermekliget.alapitvany@gmail.com,"2821 Gyermely, Viola u. 5.",Közhasznú,igen
Monostori Óvodáért Alapítvány,18609329-1-11,napsugar@novonet.hu,"2903 Komárom, Koppány vezér út 81.",Közhasznú,igen
Szent László Határrendész Közhasznú Egyesület,18365713-1-03,bacsalmashse@gmail.com,"6430 Bácsalmás, Damjanich u. 89. fszt. 1.",Közhasznú,igen
Csodák Csodája Alapítvány,18136555-1-41,csodakcsodaja@gmail.com,"1139 Budapest, Kartács utca 17/ B.",Közhasznú,igen
Fact Gazdaság- és Társadalomtudományi Alkalmazások Alapítvány,19033417-1-02,fact@sfact.com,"7635 Pécs, Fakopács köz 7. fszt. 4.",Közhasznú,igen
Szöveg Színház Színházi Egyesület,18193006-2-13,info@szovegszinhaz.hu,"2045 Törökbálint, Bajcsy-Zsilinszky utca 41.",Közhasznú,igen
Társaság a Szabadságjogokért (TASZ),18067109-1-41,tasz@tasz.hu,"1136 Budapest, Tátra utca 15/b. I/1.",Közhasznú,igen
"""Fokról-Fokra"" a Fogyatékos gyermekek Neveléséért és Oktatásáért Alapítvány",18609013-1-11,fokrol-fokra@freemail.hu,"2500 Esztergom, Dobogókői u. 29.",Közhasznú,igen
Kb35 Inárcsi Színjátszó Közhasznú Egyesület,18720301-1-13,baloghferencpeter@gmail.com,"2365 Inárcs, Bajcsy Zs. út 94.",Közhasznú,igen
Mezőkovácsházi Torna Egylet,19976426-1-04,sza.lajos@freemail.hu,"5800 Mezőkovácsháza, Alkotmány utca 60.",Közhasznú,igen
"Pest Megyei Kutató-Mentő Szolgálat, Pannon Mentőkutyás Alapítvány",18711509-1-13,info@kutato-mento.hu,"2000 Szentendre, Kovács László utca 38.",Közhasznú,igen
Nyírségi Segítő Kéz Alapítvány,18806760-1-15,telehazkh@gmail.com,"4434 Kálmánháza, Dorogi út 76.",Közhasznú,igen
Baptista Szeretetszolgálat Alapítvány,18485529-1-42,kommunikacio@baptistasegely.hu,"1065 Budapest, Bajcsy-Zsilinszky út 57. I. emelet.",Közhasznú,igen
