source,shop_slug,shop_name,type,coupon_code,title,description,cta_url,starts_at,expires_at
gmail_structured,allegro,Allegro,coupon_code,DOCTYPE,Itt van már a téli vásár!,Kuponod is csak erre vár! ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,http://www.w3.org/TR/1999/REC-html401-19991224/loose.dtd,2025-12-12T09:42:41.000Z,
gmail_structured,unknown,unknown,coupon_code,BASIC,🎁Nagy karácsonyi játékvásár!🎁,Vasárnapig Glamour-napok: Minden Brendon baba- és kismamaruha -20% ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,http://www.w3.org/1999/xhtml,2025-12-12T09:32:22.000Z,
gmail_structured,unknown,unknown,coupon_code,I8K8X,Még nincs meg minden ajándék? Akkor jól fog jönni a -13% kedvezmény mindenre!,Közeleg a karácsony: spóroljon akár 13%-ot bármin! ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,https://cdn.exponea.com/klarstein-sk/e/.eJwTUmB7ts5a5X04m3Tyqw0nctI8K8Xj_P8mMjYJ8Zg8OZB5MVJKJKOkpKDYSl8_OyexqLgkNTNPL6PUsGWv_dpvfrccrXi5mEqLhdhTKwry81ITrRSA3GQhKe9gXWdXV10_H10jAyNTQyNDI11nj2AjU11HK26gilwh1tTcxMycqAx9_aT8lEr9ksSknFT9Egi7SL8kBSISbRiLKYhfWbRRLJLKIrBUin5iko-BmWWyoYWRaaqJsYmFkbFlTVFqeibQP0WpKVZJpVkp-cX5eolFefk5KQ5QbmZRfkqiXnJ-bk2SmbGhobmJsVGiQaJhorl5Fk-8oru81MnF7t0pG782MDEDAEWrb8c.oA7yTYNUwIQBAw/click],2025-12-12T09:04:53.000Z,
gmail_structured,unknown,unknown,coupon_code,ONLINE,🎁Bontsa ki a 4 000 Ft vagy 1 000 Ft kedvezményt a teljes vásárlásra.,"&quot; Válassza ki kedvezményét, és kezdjen el vásárolni még ma! &quot; ONLINE VERZIÓ Logo Alensa Alensa - repeater CZ Kontaktlencsék Ápolószerek Napszemüvegek Szemüvegek és keretek 4000 Ft kedvezmény",https://tracking.alensa.hu/f/a/cNKODZiA4PjrK8BwQfd9UA~~/AAA-fBA~/lXIydbZarYhAebdEJwdB4VT74Jktra3mtV7-Eb9Q3x9HP0dap66OdViYubFnga3c0Qba-PxHQDafMZ7ebgGGJTLNOnDbX0FG1wk0Kt2eXhR8QTRuUXtjR7F2tjRRZFWjx7hyHlE5McayL-IMZTPwRMeUdOttRSwdQCHG4IaabUv29izjafzX8EreZjkr3m5yBQYi-Uaaa-kmKrh6ZpyofYn3BaiR_Mzt2Xn1ybEaqsh-que6Xwgc68IOraVBpadi1kvjsgBF2RNkFaxmr0wkXs72qVQHl56j5ivdE95phCnFQjnB1oar_iFK2wYrKXsxCETJoMg_Con-IspP33l5uSGHCmUkv46dmYjF7ZZuO_Y~],2025-12-12T08:10:11.000Z,
gmail_structured,unknown,unknown,coupon_code,JQUFF,10% kedvezmény ajándékutalványokra 🎁,Az akció csak vasárnapig érvényes ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,https://eu2-cdn.eng.bloomreach.com/travelking/e/.eJwTUpCpnPlVRkXn9nNtZv27z6Yv91c-k_hbzeKjx-LttSx224Kk5jFmlJQUFFvp66eWGukmp-Tppeal6yXl5OfnFqUmJmfoJefn6pcUJZal5mRn5qXrp-o7p1cU-IZn5psZFRYbOacWhxSEBns6VZjmpoUmezlXJZlWFrv4WBrn5pilBHhaVGToVkaaWIRmZpUYG7gGFEUF-0Z6-7oU-5SElBQ4JQPN8jdP9oyI8PCJSinxivRJ18vXdQs1jMwNdAm0DPJ01GLKKDVs6uE79NbvlqOVABdTabEQV15qeXFOaklJapGVClAkWUguQNfd0y1EN8w_1NnDNUjXxTPY2T_UL0TXyNTQyNDIihuoKleINTU3MTPHSoiLo7QkNx6oO1eIDaIgKlRfPyk_pVK_JDEpJ1W_BMIu0i9JgYhEG8ZiCmITAbNTMsv0C_RL9ROTfJKM09KMTFLNDY3MDNKSDS1qilLTM4uBVqemWCWVZqXkF-frJRbl5eekOEC5mUX5KYmgUK9JTU4xNLFITbEwNTBPNbewyOJJV57-yTDt7WqpRXq-DUzMACMno9s.FSNEP_MLHvEyYQ/click],2025-12-12T06:32:40.000Z,
gmail_structured,regiojatek,REGIO Jatek,coupon_code,DOCTYPE,Itt a karácsonyi 15%-os kuponod!,Szerezd be akciós játékainkat még ma! ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,http://www.w3.org/1999/xhtml,2025-12-12T05:06:54.000Z,
gmail_structured,regiojatek,REGIO Jatek,coupon_code,LSZOLG,Tegyen egészségéért és gyűjtsön 5× SuperShop pontot! 💊,"Ne maradjon le a SuperShop legjobb ajánlatairól! &gt;&gt; Ha a hírlevél nem jelenik meg megfelelően, kattintson ide! ÜGYFÉLSZOLGÁLAT PÓTKÁRTYA IGÉNYLÉS TÁRSKÁRTYA IGÉNYLÉS PARTNEREINK Keresse legújabb,",https://view.automizy.com/5/8Csm0LPUszHIKa7k-LD8ewjFqsEFe2qNUXJ-NM4l5fcM-CLJx05sPnx-OLSSj9T3gSu6OPm10nsHsV4H,2025-12-11T17:50:03.000Z,
gmail_structured,unknown,unknown,coupon_code,6I97HPOV,Az Eyerim adventi kalendáriumának 11. napja: 30% kedvezmény dioptriás szemüvegekre!,"Használd a SEE30 kódot, és szerezz kedvezményt minden keretre + lencsére! ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏",https://cdn.exponea.com/eyerim-global/e/.eJwTUrhncEOlqI71_bypkf9lJwguXCm7fONOm6I97HPOVavmnXolJZZRUlJQbKWvX15erpdamVqUmauXUaqvxZRRahi9pSB1g98tRyteLqbSYiH21IqC_LzURCtuIDdXiDU1NzEzx0oCyEkWEjI0dHF1jndMKUvNK4kPdnU1NrDi5GIuTc4XApoU5a2vn5SfUqlfkpiUkxptGKtfAuEW6ZekQAQxRaKNkJVlgHSlZJbpJyb5WJqbpZqkGpkZGJklJ6eZmtQUpaZnFpekFqWmWCWVZqXkF-frJRbl5eekOEC5mUX5KYl6yfm5NamJFsYG5inmZqYp5iZJ5iZZPImeM5NcA-bs3sUdsa6BiRkARW5rnA.WgYYTPmNdzz5kQ/click],2025-12-11T13:05:25.000Z,
gmail_structured,fizz,FIZZ,coupon_code,61700,Indulhat az építés! LEGO készletek karácsonyra 🎨,Lego rajongóknak kötelező Nem jelenik meg a levél? Kattints ide! karacsony A kupon 2025. 12. 09. 12:00 és 2025. 12. 18. 11:59 között érvényes. A promóció érvényesítéséhez használd a kuponkódot! lego,https://view.mail.fizz.hu/?qs=f403acc637bc7cdf61700d46ff4f1cf28817698b7d60b57c10706835603638809e72a97eaea2985f4a5804955df09c764486c94c90df129f4c3ee9ba06ba706be8cbb3aea4b36fb88bc7bb6b600fe791,2025-12-11T11:04:40.000Z,
gmail_structured,unknown,unknown,coupon_code,TJ2025,Kérjük értékelje a megvásárolt termékét ajándék kuponkódért,"Kedves Arnold! Köszönjük, hogy a TopJuicers által forgalmazott kiemelt minőségű konyhai készülék mellett döntött. Ügyfeleink véleménye fontos számunkra, hiszen így növelhetjük elégedettségüket! Kérjük,",http://www.w3.org/1999/xhtml,2025-12-11T10:15:38.000Z,
