Név,NGO_kod,,
Bátor Tábor Alapítvány,bator-tabor-alapitvany,,
Répcelaki Szent István Alapítvány,repcelaki-szent-istvan-alapitvany,,
ESŐEMBERKE Alapítvány a Vas vármegyei autistákért,esoemberke-alapitvany-a-vas-varmegyei-autistakert,,
SAVARIA Díszmadártenyésztő és Állatbarát Egyesület,savaria-diszmadartenyeszto-es-allatbarat-egyesulet,,
Avalon Színház Művelődési Egyesület,avalon-szinhaz-muvelodesi-egyesulet,,
"""Együtt Nádasdért"" Faluszépítő és Fejlesztő Kulturális Egyesület,egyutt-nadasdert-faluszepito-es-fejleszto-kulturalis-egyesulet",,,
Levente Izomremény Alapítvány,levente-izomremeny-alapitvany,,
Családcentrum Közhasznú Alapítvány,csaladcentrum-kozhasznu-alapitvany,,
Agapé Gyülekezetek Közössége Törökszentmiklósi Gyülekezete,agape-gyulekezetek-kozossege-torokszentmiklosi-gyulekezete,,
Shunt-ös életek Alapítvány,shunt-os-eletek-alapitvany,,
KÖSZI Egyesület,koszi-egyesulet,,
Szívvel - Lélekkel a Gyermekekért és Fiatalokért Alapítvány,szivvel-lelekkel-a-gyermekekert-es-fiatalokert-alapitvany,,
Szentendrei Lakástárlat Alapítvány,szentendrei-lakastarlat-alapitvany,,
Magyar Speciális Művészeti Műhely Egyesület,magyar-specialis-muveszeti-muhely-egyesulet,,
Az Értelmi Fogyatékosok Fejlődését Szolgáló Magyar Down Alapítvány,az-ertelmi-fogyatekosok-fejlodeset-szolgalo-magyar-down-alapitvany,,
Nagycsaládosok Egyesülete Törökszentmiklós,nagycsaladosok-egyesulete-torokszentmiklos,,
Magyar Vöröskereszt Jász-Nagykun-Szolnok Vármegyei Szervezete,magyar-voroskereszt-jasz-nagykun-szolnok-varmegyei-szervezete,,
Törökszentmiklósi Óvodák Egyesülete,torokszentmiklosi-ovodak-egyesulete,,
Befogad-lak Törökszentmiklósi Állatvédő Alapítvány,befogad-lak-torokszentmiklosi-allatvedo-alapitvany,,
Kikelet Alapítvány,kikelet-alapitvany,,
Sági Dominik - Harc a Duchenne-nel Alapítvány,sagi-dominik-harc-a-duchenne-nel-alapitvany,,
Fortissimo-Együtt a Sportoló Ifjúságért Alapítvány,fortissimo-egyutt-a-sportolo-ifjusagert-alapitvany,,
Együtt Pénzes Márk Gyógyulásáért Alapítvány,egyutt-penzes-mark-gyogyulasaert-alapitvany,,
"""Tatjána"" Onkológiai Betegekért Alapítvány,tatjana-onkologiai-betegekert-alapitvany",,,
Intelligens Társadalomért Országos Szövetség Egyesület,intelligens-tarsadalomert-orszagos-szovetseg-egyesulet,,
Hétpecsét Információbiztonsági Egyesület,hetpecset-informaciobiztonsagi-egyesulet,,
Alsózsolcai Gondozási Központ,alsozsolcai-gondozasi-kozpont,,
"""SZIN-TÉR""/Színjátszó-Versmondó/ Egyesület,szin-terszinjatszo-versmondo-egyesulet",,,
ELTE TÓK Hagyományőrző Alapítványa,elte-tok-hagyomanyorzo-alapitvanya,,
Magyar Vakok és Gyengénlátók Országos Szövetsége,magyar-vakok-es-gyengenlatok-orszagos-szovetsege,,
A Felsődobszai Iskoláért Alapítvány,a-felsodobszai-iskolaert-alapitvany,,
A Szívbeteg Gyermekek Védelmében Alapítvány,a-szivbeteg-gyermekek-vedelmeben-alapitvany,,
Magyar Vöröskereszt Zala Megyei Szervezete,magyar-voroskereszt-zala-megyei-szervezete,,
Világfa Waldorf Közhasznú Alapítvány,vilagfa-waldorf-kozhasznu-alapitvany,,
Magyar Vöröskereszt,magyar-voroskereszt,,
Jobb Élet Közhasznú Egyesület,jobb-elet-kozhasznu-egyesulet,,
Lőrinc-Kertváros Polgárőr Csoport és Önkéntes Tűzoltó Egyesület,lorinc-kertvaros-polgaror-csoport-es-onkentes-tuzolto-egyesulet,,
Új látásmód - Buda Környéki Látássérültek Egyesülete,uj-latasmod-buda-kornyeki-latasserultek-egyesulete,,
Dunakanyar Forte Asztali Labdarúgó Klub,dunakanyar-forte-asztali-labdarugo-klub,,
"""Együtt könnyebb"" Női Egészségért Alapítvány,egyutt-konnyebb-noi-egeszsegert-alapitvany",,,
Napos Oldal a Sérült Emberekért Alapítvány,napos-oldal-a-serult-emberekert-alapitvany,,
Kék Erdő Alapítvány,kek-erdo-alapitvany,,
Dusán Világáért Alapítvány,dusan-vilagaert-alapitvany,,
Nemzeti Portrétár Alapítvány,nemzeti-portretar-alapitvany,,
Nemes Képességfejlesztő Alapítvány,nemes-kepessegfejleszto-alapitvany,,
GESUALDO Kamarakórus Egyesület,gesualdo-kamarakorus-egyesulet,,
"""Az Eötvös Collégiumért"" Alapítvány,az-eotvos-collegiumert-alapitvany",,,
Bartók Boulevard Egyesület,bartok-boulevard-egyesulet,,
Dél-Budai Sport Club,del-budai-sport-club,,
Farkasrét a Gyermekekért Alapítvány,farkasret-a-gyermekekert-alapitvany,,
Innovációs Sport Alapítvány,innovacios-sport-alapitvany,,
Kutyával Egy Mosolyért Alapítvány,kutyaval-egy-mosolyert-alapitvany,,
Mécses Szeretetszolgálat Magyar Börtönpasztorációs Társaság,mecses-szeretetszolgalat-magyar-bortonpasztoracios-tarsasag,,
"""Kurityánért"" Alapítvány,kurityanert-alapitvany",,,
Ózdi Kulturális és Sportegyesület,ozdi-kulturalis-es-sportegyesulet,,
Gyermekeink Mosolyáért Alapítvány,gyermekeink-mosolyaert-alapitvany,,
Halmozottan Sérültek Borsod-Abaúj-Zemplén Megyei Szülőszövetsége,halmozottan-serultek-borsod-abauj-zemplen-megyei-szuloszovetsege,,
Miskolci Nagycsaládosok Egyesülete,miskolci-nagycsaladosok-egyesulete,,
