slug,domain,program_id,name,network
cj-2709631,sky-tours.com,2709631,Skytours US,cj
cj-3387283,geekbuying.com,3387283,GeekBuying,cj
cj-3587693,jalbum.net,3587693,Jalbum,cj
cj-4877395,answear.hu,4877395,Answear.hu,cj
cj-4894447,insportline.hu,4894447,inSPORTline.hu,cj
cj-4967945,cdrmarket.hu,4967945,CDRmarket.hu/ro,cj
cj-4989665,nanushka.com,4989665,Nanushka,cj
cj-5764183,akkuk.hu,5764183,Akkuk.hu,cj
cj-5765330,reflexshop.hu,5765330,Reflexshop.hu,cj
cj-5801719,nutraceutics.hu,5801719,NUTRACEUTICS RO/HU,cj
cj-5807789,butlers.hu,5807789,Butlers.hu,cj
cj-5824323,unice.com,5824323,UNice,cj
cj-5884820,scandishop.cz,5884820,Scandishop cz/sk/hu/ro,cj
cj-5986419,jatekshop.eu,5986419,Jatekshop.eu,cj
cj-6100840,esky.com,6100840,eSky INT,cj
cj-6169916,tescoma.hu,6169916,Tescoma.hu,cj
cj-6253448,monkeymum.com,6253448,Monkeymum.com,cj
cj-6306264,yogabazaar.hu,6306264,Yogabazaar.hu,cj
cj-6322281,skechers.co.uk,6322281,Skechers,cj
cj-6505895,hotelcollection.com,6505895,Hotel Collection,cj
cj-6562598,licila.si,6562598,PinkPanda Europe,cj
cj-6575774,somnart.ro,6575774,Somnart RO/HU/BG,cj
cj-6575811,brendon.hu,6575811,Brendon.hu,cj
cj-6595791,marionnaud.hu,6595791,Marionnaud HU,cj
cj-6754592,dermo.hu,6754592,Dermo.hu,cj
cj-6762329,namaximum.hu,6762329,Namaximum.hu,cj
cj-5230042,axa-assistance.hu,5230042, AXA-ASSISTANCE SK/HU/RO,cj
cj-5243646,aboutyou.hu,5243646,Aboutyou.hu,cj
cj-5306925,reedog.cz,5306925,Reedog Europe,cj
cj-5357176,eoptika.hu,5357176,eOptika HU,cj
cj-5393824,yves-rocher.hu,5393824,Yves-rocher.hu,cj
cj-5411803,lkbaits.cz,5411803,LK Baits EU,cj
cj-5457740,mixit.hu,5457740,MIXIT.HU,cj
cj-5578976,novakidschool.com,5578976,Novakid INT,cj
cj-5619548,jateknet.hu,5619548,JátékNet.hu,cj
cj-5620281,kaercher.com,5620281,KÄRCHER.HU,cj
cj-6796197,warsawsneakerstore.com,6796197,Warsawsneakerstore.com,cj
cj-6808248,karpex.cz,6808248,Karpex CZ/HU/Albumshop.sk,cj
cj-7133039,byrokko.com,7133039,Byrokko World,cj
cj-7138001,heliumking.sk,7138001,Heliumking Europe,cj
cj-7218186,lumarysmart.com,7218186,Lumary,cj
cj-7249555,earplugs.cz,7249555,Earplugs CZ/SK/HU/DE,cj
