
question_category,segments_updated,update_type,targetable,sensitivity,notes
PROFILE_AGE,AGE,direct assignment based on age range,internal,high,Determines AGE-Ax and MINOR flag
PROFILE_GEO,GEO,direct assignment based on county,safe,low,Used for local targeting
PROFILE_URB,URB,direct assignment,safe,low,
PROFILE_EDU,EDU,direct assignment,internal,med,Used for weighting
PROFILE_SES,SES,direct assignment,internal,high,Do not use for partner targeting
KN_CLIMATE,"KN, KN-CLIM","+1 for correct answer, 0 otherwise; weight by difficulty",safe,low,Pattern: updates KN and KN-CLIM levels
KN_ENERGY,"KN, KN-ENER","+1 for correct answer, 0 otherwise; weight by difficulty",safe,low,
KN_TRANSPORT,"KN, KN-TRAN","+1 for correct answer, 0 otherwise",safe,low,
KN_WASTE,"KN, KN-WAST","+1 for correct answer, 0 otherwise",safe,low,
KN_WATER,"KN, KN-WATR","+1 for correct answer, 0 otherwise",safe,low,
KN_BIODIVERSITY,"KN, KN-BIOD","+1 for correct answer, 0 otherwise",safe,low,
KN_CIRCULAR,"KN, KN-CIRC","+1 for correct answer, 0 otherwise",safe,low,
ATT_CARE,ATT-CARE,Scaled -2 to +2 for answer (A-D),safe,low,Measures caring about sustainability
ATT_EFFICACY,ATT-EFFI,Scaled -2 to +2 for answer (A-D),safe,low,Measures perceived self-efficacy
ATT_URGENCY,ATT-URGE,Scaled -2 to +2 for answer (A-D),safe,low,Measures sense of urgency
BEH_WASTE,"BEH, BEH-WAST",Frequency mapping (A-D) to 0–3 points,safe,low,Waste reduction behaviors
BEH_ENERGY,"BEH, BEH-ENER",Frequency mapping (A-D) to 0–3 points,safe,low,Energy saving behaviors
BEH_TRANSPORT,"BEH, BEH-TRAN",Frequency mapping (A-D) to 0–3 points,safe,low,Sustainable transport behaviors
BEH_FOOD,"BEH, BEH-FOOD",Frequency mapping (A-D) to 0–3 points,safe,low,Sustainable food behaviors
BEH_SHOP,"BEH, BEH-SHOP",Frequency mapping (A-D) to 0–3 points,safe,low,Responsible shopping behaviors
MOT_SELECT,MOT,Top choices get +3/+2/+1 points on corresponding MOT codes,safe,low,User selects up to three motivations
STAGE_SUSTAINABILITY,STG-SUS,Direct stage assignment (S0–S4),safe,low,Based on readiness to act
STAGE_DONATION,STG-DON,Direct stage assignment (S0–S4),safe,low,Based on giving intention
DONATION_FREQUENCY,DON-FREQ,Direct assignment,safe,low,Identifies donor frequency
DONATION_FORM,"DON-MONEY, DON-TIME, DON-ITEM, DON-SKIL, DON-SHARE",+3/+2/+1 for first/second/third preferred forms,safe,low,Multiple selections possible
CAUSE_PREFERENCE,CAUSE,+3/+2/+1 points for top cause preferences,safe,low,User chooses preferred causes
NODON_REASON,NODON,Direct assignment of non-donor reason,internal,high,Only for non-donors
CONTENT_FORMAT,FMT,Assign top format preferences (up to three),safe,low,Used for personalized content delivery
AD_TOLERANCE,ADLOAD,Direct assignment based on tolerance,safe,low,Low/medium/high
SHOP_STYLE,SHOP,Direct assignment of shopping style,safe,low,Multiple styles possible
AVAILABLE_TIME,AVAIL-TIME,Direct assignment of time band,internal,low,Used for volunteer matching
AVAILABLE_MOBILITY,AVAIL-MOB,Direct assignment of mobility band,internal,low,Used for local activities
CONSENT_PERSONALIZATION,CONS-PERS,Direct assignment (0/1),internal,high,User controls internal personalization
CONSENT_ADS,CONS-ADS,Direct assignment (0/1),internal,high,User controls partner ads
PRIVACY_LEVEL,PRIV,Direct assignment (P1/P2/P3),internal,high,Controls overall privacy setting
