segment_code,category,description,targetable,sensitivity,notes;
AGE-A0,AGE,Age unknown/declined,internal,low,Used for demographic weighting;
AGE-A1,AGE,Age 13–15,internal,high,Minor flag;
AGE-A2,AGE,Age 16–17,internal,high,Minor flag;
AGE-A3,AGE,Age 18–24,internal,low,Used for weighting;
AGE-A4,AGE,Age 25–34,internal,low,;
AGE-A5,AGE,Age 35–44,internal,low,;
AGE-A6,AGE,Age 45–54,internal,low,;
AGE-A7,AGE,Age 55–64,internal,low,;
AGE-A8,AGE,Age 65+,internal,low,;
MINOR-0,MINOR,User is 18+,internal,high,Derived from age;
MINOR-1,MINOR,User is under 18,internal,high,Derived from age;
GEO-HU-BU,GEO,Budapest,safe,low,Used for local targeting;
GEO-HU-BK,GEO,Bács-Kiskun County,safe,low,;
GEO-HU-BA,GEO,Baranya County,safe,low,;
GEO-HU-BE,GEO,Békés County,safe,low,;
GEO-HU-BZ,GEO,Borsod-Abaúj-Zemplén County,safe,low,;
GEO-HU-CS,GEO,Csongrád-Csanád County,safe,low,;
GEO-HU-FE,GEO,Fejér County,safe,low,;
GEO-HU-GS,GEO,Győr-Moson-Sopron County,safe,low,;
GEO-HU-HB,GEO,Hajdú-Bihar County,safe,low,;
GEO-HU-HE,GEO,Heves County,safe,low,;
GEO-HU-JN,GEO,Jász-Nagykun-Szolnok County,safe,low,;
GEO-HU-KE,GEO,Komárom-Esztergom County,safe,low,;
GEO-HU-NO,GEO,Nógrád County,safe,low,;
GEO-HU-PE,GEO,Pest County,safe,low,;
GEO-HU-SO,GEO,Somogy County,safe,low,;
GEO-HU-SZ,GEO,Szabolcs-Szatmár-Bereg County,safe,low,;
GEO-HU-TO,GEO,Tolna County,safe,low,;
GEO-HU-VA,GEO,Vas County,safe,low,;
GEO-HU-VE,GEO,Veszprém County,safe,low,;
GEO-HU-ZA,GEO,Zala County,safe,low,;
GEO-UNK,GEO,Unknown County,internal,low,;
URB-U0,URB,Unknown,internal,low,;
URB-U1,URB,Capital city (Budapest),safe,low,;
URB-U2,URB,County town,safe,low,;
URB-U3,URB,Town,safe,low,;
URB-U4,URB,Village/municipality,safe,low,;
EDU-E0,EDU,Education unknown,internal,low,;
EDU-E1,EDU,Primary school or less,internal,med,;
EDU-E2,EDU,Vocational training,internal,med,;
EDU-E3,EDU,Secondary (high school) diploma,internal,med,;
EDU-E4,EDU,University degree,internal,med,;
EDU-E5,EDU,Postgraduate degree,internal,med,;
SES-S0,SES,Socioeconomic status unknown,internal,high,Used only internally;
SES-S1,SES,Difficulty making ends meet,internal,high,Not used for partner targeting;
SES-S2,SES,Generally make ends meet,internal,high,;
SES-S3,SES,Comfortably make ends meet,internal,high,;
KN-L*,KN,Overall sustainability knowledge level (L0–L5),safe,low,Pattern code for overall knowledge level;
KN-CLIM-L*,KN,Knowledge about climate change (L0–L5),safe,low,Pattern: L0–L5;
KN-ENER-L*,KN,Knowledge about energy efficiency (L0–L5),safe,low,Pattern: L0–L5;
KN-TRAN-L*,KN,Knowledge about sustainable transport (L0–L5),safe,low,Pattern: L0–L5;
KN-WAST-L*,KN,Knowledge about waste management (L0–L5),safe,low,Pattern: L0–L5;
